 ,Training,Rule Number
0,0.78,12.0769230769231
1,0.89,5.30769230769231
2,0.52,1.07692307692308
3,0.82,10.5384615384615
4,0.68,9.46153846153846
5,0.52,1.07692307692308
6,0.83,7.30769230769231
7,0.72,2.07692307692308
8,0.76,3.07692307692308
9,0.87,6.69230769230769
,0.739,5.86923076923077
