0,0,0.1
0,0.02,0.14
0,0.04,0.08
0,0.06,0.17
0,0.08,0.14
0,0.1,0.1
0,0.12,0.11
0,0.14,0.12
0,0.16,0.06
0,0.18,0.15
0,0.2,0.08
0.1,0,0.16
0.1,0.02,0.3
0.1,0.04,0.45
0.1,0.06,0.44
0.1,0.08,0.43
0.1,0.1,0.5
0.1,0.12,0.5
0.1,0.14,0.53
0.1,0.16,0.52
0.1,0.18,0.48
0.1,0.2,0.49
0.2,0,0.14
0.2,0.02,0.43
0.2,0.04,0.52
0.2,0.06,0.56
0.2,0.08,0.53
0.2,0.1,0.51
0.2,0.12,0.55
0.2,0.14,0.47
0.2,0.16,0.48
0.2,0.18,0.44
0.2,0.2,0.55
0.3,0,0.12
0.3,0.02,0.43
0.3,0.04,0.57
0.3,0.06,0.55
0.3,0.08,0.51
0.3,0.1,0.62
0.3,0.12,0.58
0.3,0.14,0.51
0.3,0.16,0.55
0.3,0.18,0.52
0.3,0.2,0.48
0.4,0,0.19
0.4,0.02,0.52
0.4,0.04,0.62
0.4,0.06,0.6
0.4,0.08,0.58
0.4,0.1,0.6
0.4,0.12,0.59
0.4,0.14,0.58
0.4,0.16,0.55
0.4,0.18,0.59
0.4,0.2,0.51
0.5,0,0.18
0.5,0.02,0.54
0.5,0.04,0.51
0.5,0.06,0.59
0.5,0.08,0.54
0.5,0.1,0.54
0.5,0.12,0.6
0.5,0.14,0.57
0.5,0.16,0.55
0.5,0.18,0.55
0.5,0.2,0.59
0.6,0,0.08
0.6,0.02,0.52
0.6,0.04,0.54
0.6,0.06,0.64
0.6,0.08,0.6
0.6,0.1,0.61
0.6,0.12,0.63
0.6,0.14,0.6
0.6,0.16,0.5
0.6,0.18,0.53
0.6,0.2,0.56
0.7,0,0.11
0.7,0.02,0.62
0.7,0.04,0.66
0.7,0.06,0.59
0.7,0.08,0.58
0.7,0.1,0.62
0.7,0.12,0.7
0.7,0.14,0.55
0.7,0.16,0.62
0.7,0.18,0.58
0.7,0.2,0.52
0.8,0,0.11
0.8,0.02,0.58
0.8,0.04,0.66
0.8,0.06,0.64
0.8,0.08,0.61
0.8,0.1,0.66
0.8,0.12,0.53
0.8,0.14,0.63
0.8,0.16,0.59
0.8,0.18,0.52
0.8,0.2,0.61
0.9,0,0.14
0.9,0.02,0.54
0.9,0.04,0.56
0.9,0.06,0.65
0.9,0.08,0.65
0.9,0.1,0.58
0.9,0.12,0.61
0.9,0.14,0.55
0.9,0.16,0.55
0.9,0.18,0.46
0.9,0.2,0.58
1,0,0.1
1,0.02,0.59
1,0.04,0.54
1,0.06,0.69
1,0.08,0.62
1,0.1,0.59
1,0.12,0.55
1,0.14,0.66
1,0.16,0.61
1,0.18,0.54
1,0.2,0.61
